15.174,15.174,9.557,9.557,9.557,9.557,9.557,4.795,4.795,4.795,4.795,4.795,4.795,4.795,4.795,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.242,3.242,3.127,2.601,2.601,1.869,1.869,1.869,1.869,1.869,1.869,1.869,1.406,1.406,1.406,0.481,0.481,0.481,0.481,0.481,0.481,0.343,0.343,0.343,0.343,0.343,0.343,0.171,0.168,0.168,0.168,0.168,0.168,0.105,0.105,0.087,0.087,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008
12.509,12.509,5.876,5.876,5.876,5.876,5.876,5.876,5.876,5.876,5.876,4.233,4.233,4.233,4.233,4.233,4.233,3.287,3.287,3.287,3.287,3.287,2.963,1.315,1.315,1.315,1.315,1.315,1.315,1.315,1.118,1.118,0.392,0.392,0.392,0.392,0.392,0.288,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.087,0.087,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
9.066,9.066,9.066,9.066,9.066,9.066,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,4.253,4.253,4.253,4.253,4.253,4.253,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.714,0.714,0.714,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.077,0.077,0.077,0.077,0.063,0.063,0.063,0.041,0.024,0.024,0.024,0.024,0.024,0.019,0.019,0.019,0.019,0.019,0.019,0.013,0.013
15.013,15.013,12.014,12.014,12.014,9.718,8.707,3.727,3.727,3.727,3.727,3.727,3.727,2.492,2.492,2.492,2.492,2.492,2.492,2.353,2.353,2.353,2.353,2.206,1.283,1.283,1.283,1.283,1.283,0.862,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.097,0.097,0.097,0.097,0.097,0.097,0.026,0.026,0.026,0.026,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.018,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.003,0.0
16.976,16.976,11.579,11.579,11.579,11.579,11.579,5.547,3.002,3.002,3.002,3.002,3.002,3.002,3.002,3.002,3.002,3.002,1.387,1.387,1.387,1.387,0.881,0.881,0.881,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.208,0.208,0.208,0.208,0.208,0.203,0.119,0.119,0.119,0.119,0.119,0.053,0.053,0.053,0.053,0.053,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
19.409,19.409,11.775,11.775,11.775,11.775,11.775,11.775,11.775,11.775,11.775,11.693,11.388,9.663,5.314,5.314,5.314,5.314,5.314,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,2.748,2.748,2.748,2.748,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
17.301,17.301,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.54,2.54,2.54,2.54,2.035,2.035,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.25,0.25,0.136,0.136,0.136,0.136,0.136,0.125,0.125,0.125,0.125,0.125,0.065,0.063,0.051,0.051,0.051,0.051,0.051,0.051,0.044,0.044,0.044,0.043,0.029,0.02,0.02,0.008,0.008,0.008,0.008,0.008,0.008,0.004,0.003,0.003,0.003,0.003,0.003,0.003
12.561,12.561,12.508,12.508,11.015,9.928,9.928,9.928,9.928,6.016,6.016,6.016,6.016,2.988,2.988,2.988,2.988,2.988,2.988,2.988,2.988,2.988,2.988,2.988,2.988,2.988,2.988,2.988,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.233,18.233,14.242,14.242,8.043,8.043,8.043,8.043,8.043,8.043,6.162,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,1.265,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.241,0.228,0.228,0.228,0.228,0.228,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.036,0.036,0.036,0.036,0.036,0.036,0.025,0.02,0.02,0.02,0.02,0.02,0.02,0.02
17.998,17.998,12.807,12.807,12.807,12.807,12.807,8.415,8.289,8.289,8.289,8.289,8.289,4.891,4.891,4.736,4.736,4.736,4.736,4.45,3.082,3.082,3.082,3.082,3.082,3.082,2.653,2.653,2.653,2.653,0.592,0.592,0.592,0.592,0.419,0.419,0.419,0.419,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.066,0.066,0.066,0.066,0.066,0.066,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.018,0.018,0.018,0.008,0.008,0.008,0.008,0.008
